Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11:00 AM,133,155,128,162,144,35,20
11:15 AM,213,269,203,216,187,33,5
11:30 AM,381,398,402,357,355,94,19
11:45 AM,595,599,565,565,492,81,15
12:00 PM,1153,1055,974,1046,829,132,12
12:15 PM,1188,1000,1149,1201,1053,132,14
12:30 PM,979,906,996,1119,860,129,7
12:45 PM,736,821,896,900,803,133,9
1:00 PM,616,646,651,725,637,125,10
1:15 PM,530,438,494,577,464,107,8
1:30 PM,426,426,465,390,332,86,6
1:45 PM,258,282,292,325,272,88,11
2:00 PM,150,171,167,166,196,43,22